"owner","field","file","occurrences"
"order","status",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"order","user",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"revenue","gross_amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"revenue","instructor_amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"revenue","platform_fee_amount",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"summary","completed_enrollments",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"summary","completion_rate",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"summary","paid_orders",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"summary","total_courses",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","3"
"summary","total_enrollments",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"summary","total_instructors",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"summary","total_learners",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"summary","total_orders",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","2"
"summary","total_published_courses",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","1"
"summary","total_users",".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js","3"
"category","parent_id","assets/js/api/categories-api.js","2"
"course","category_ids","assets/js/api/categories-api.js","1"
"response","json","assets/js/api/categories-api.js","10"
"response","ok","assets/js/api/categories-api.js","6"
"response","status","assets/js/api/categories-api.js","9"
"course","status","assets/js/api/course-reviews-api.js","2"
"course","title","assets/js/api/course-reviews-api.js","2"
"item","created_at","assets/js/api/course-reviews-api.js","1"
"item","instructor","assets/js/api/course-reviews-api.js","1"
"item","slug","assets/js/api/course-reviews-api.js","1"
"item","submitted_at","assets/js/api/course-reviews-api.js","1"
"item","title","assets/js/api/course-reviews-api.js","1"
"item","updated_at","assets/js/api/course-reviews-api.js","1"
"course","is_featured","assets/js/api/courses-api.js","1"
"course","published_at","assets/js/api/courses-api.js","2"
"course","status","assets/js/api/courses-api.js","4"
"course","updated_at","assets/js/api/courses-api.js","1"
"instructor","email","assets/js/api/courses-api.js","2"
"instructor","full_name","assets/js/api/courses-api.js","2"
"instructor","id","assets/js/api/courses-api.js","1"
"response","json","assets/js/api/courses-api.js","3"
"response","ok","assets/js/api/courses-api.js","3"
"response","status","assets/js/api/courses-api.js","3"
"summary","average_rating","assets/js/api/courses-api.js","1"
"response","json","assets/js/api/instructor-upgrades-api.js","4"
"response","ok","assets/js/api/instructor-upgrades-api.js","4"
"response","status","assets/js/api/instructor-upgrades-api.js","6"
"user","email","assets/js/api/instructor-upgrades-api.js","3"
"user","email_verified_at","assets/js/api/instructor-upgrades-api.js","1"
"user","full_name","assets/js/api/instructor-upgrades-api.js","7"
"user","id","assets/js/api/instructor-upgrades-api.js","5"
"user","phone","assets/js/api/instructor-upgrades-api.js","3"
"user","role","assets/js/api/instructor-upgrades-api.js","2"
"user","status","assets/js/api/instructor-upgrades-api.js","1"
